-39.34,2.23,-9.23,-12.20,5.43,6.58,-0.04,-8.81,6.55,8.06,-1.48,1.22,4.65,-2.88,-6.42,6.02,0.57,0.78,5.55,-3.29
-25.38,-18.99,13.61,-22.99,-9.50,4.40,-1.30,11.25,-7.77,0.85,0.14,-1.50,0.14,-1.16,0.65,-13.40,0.90,0.16,1.79,1.30
-14.08,8.59,-5.09,-22.20,-9.33,6.16,-1.08,4.35,-2.46,1.49,0.79,-1.16,2.15,-0.25,-1.25,-9.88,-1.05,-1.20,1.50,2.71
-26.69,1.16,-2.70,-20.91,-5.55,4.07,-0.94,9.91,-7.28,2.74,2.15,-2.35,3.04,0.27,3.20,-8.48,1.31,0.27,3.36,4.51
-1.86,6.47,2.67,-21.56,-10.44,5.91,-0.49,3.14,0.15,-1.69,-1.09,0.38,-2.11,0.20,-5.01,-10.02,-1.68,-1.54,-1.33,-0.84
-17.37,16.17,-12.99,-17.67,0.27,7.87,-0.24,1.12,-0.47,2.57,0.37,-1.58,5.50,-0.80,-6.58,-8.12,0.82,0.40,1.27,1.27
-26.43,21.97,-8.45,-15.54,-0.17,3.98,-0.69,5.68,-4.62,1.29,-0.13,-3.20,2.84,-2.17,-0.64,-5.83,-0.31,-0.88,2.44,3.91
1.09,-5.07,-7.14,8.06,15.54,17.41,-1.45,1.87,0.87,-0.94,-0.69,0.93,-0.29,0.62,-4.51,5.00,1.45,-1.15,1.14,-3.56
34.54,14.31,-10.66,12.86,8.20,18.51,-2.25,-0.77,1.46,1.50,-1.21,3.03,-3.20,1.00,-3.16,-2.06,-0.73,-0.92,-0.75,-2.04
-9.38,27.90,-17.55,-17.94,-0.23,4.76,-0.50,-0.06,0.46,4.14,1.25,-1.35,4.65,-0.93,-8.97,-9.88,0.73,0.68,1.22,0.16
-50.80,-8.94,6.62,-15.75,1.21,1.47,0.09,4.44,-2.30,4.54,0.08,0.70,0.69,-2.24,0.98,1.25,-0.21,0.79,1.01,-2.23
-3.14,-8.13,4.15,-26.17,-13.68,7.87,-0.88,3.90,-3.16,-0.93,1.55,-2.20,1.47,0.73,-3.60,-10.65,-0.50,0.00,1.64,2.03
-11.11,-10.05,1.46,-24.24,-10.04,7.65,-0.51,3.52,-2.26,1.51,0.17,0.16,0.98,2.57,-4.50,-12.35,-0.44,-0.79,3.25,2.23
5.06,40.67,-3.78,-20.37,-5.76,4.24,-0.54,5.56,-4.83,0.64,-2.46,1.96,-0.73,-2.72,-10.02,-11.33,1.91,-1.92,-2.90,-0.40
30.60,-6.88,1.19,7.82,5.98,17.71,-2.45,8.95,-4.59,-3.95,-1.01,-0.55,-3.77,-0.21,3.62,-0.40,1.12,-2.84,2.48,-3.11
-7.35,5.27,-1.21,-18.10,-6.36,2.23,-0.79,2.25,-0.01,1.24,-0.06,0.13,2.24,-1.79,-10.15,-8.61,-0.05,-1.42,-3.56,2.03
4.43,-4.42,4.89,-26.31,-15.22,8.43,-1.14,-1.98,4.51,2.97,-3.38,2.03,-2.66,0.40,-2.17,-7.57,-0.27,-1.31,-0.54,-0.87
-66.11,3.74,3.69,10.99,-12.51,1.53,0.09,-1.78,0.55,3.42,0.11,3.38,-9.17,27.32,-12.06,-2.28,-0.82,-0.92,1.04,-0.43
40.44,-6.56,-4.91,18.20,2.07,27.64,-2.56,-1.19,3.60,1.88,-3.59,5.02,-6.06,-0.55,-2.64,-5.26,0.60,-1.47,-5.51,1.12
-9.55,-9.55,2.30,-22.52,-10.17,8.07,-1.30,2.54,-1.35,-1.12,0.42,-0.01,0.70,0.67,-4.40,-11.01,0.48,-0.61,1.59,-0.09
-24.32,0.67,-5.93,-19.76,-3.20,7.53,-0.90,-0.08,0.42,4.36,1.13,-0.65,5.38,-0.41,-9.07,-13.37,-0.38,-0.15,2.16,2.05
-19.45,-11.50,11.49,-25.54,-12.09,3.23,-2.07,7.70,-5.49,0.47,-0.21,-1.60,-1.70,-0.47,-1.91,-15.15,-0.90,-1.92,1.36,1.40
-6.92,-19.04,-2.55,12.30,16.52,24.86,-1.65,-2.16,4.57,1.55,-1.57,2.79,0.68,-0.83,-8.71,0.76,1.69,-1.02,2.49,-1.42
1.07,-3.67,-4.13,4.33,16.73,13.10,-3.98,10.42,-5.82,-3.23,1.13,-1.52,-0.24,0.76,4.47,5.50,1.08,0.12,0.24,-1.10
-29.35,7.65,-12.46,-14.15,1.30,4.72,0.27,-7.81,4.77,8.56,-0.51,1.27,4.97,-1.53,-2.92,6.63,0.67,0.89,5.62,-2.86
